artist_id,last_name,first_name,birth_date
artist:1,Hitchcock,Alfred,1899
artist:2,Stewart,James,1908
artist:3,Novak,Kim,1933
artist:4,Perkins,Anthony,1932
artist:5,Leigh,Janet,1927
artist:6,Grant,Cary,1904
artist:7,Saint,Eva Marie,1924
artist:8,Kelly,Grace,1929
artist:9,Coppola,Francis Ford,1939
artist:10,Brando,Marlon,1924
artist:11,Pacino,Al,1940
artist:12,Sheen,Martin,1940
artist:13,Lucas,George,1944
artist:14,Hamill,Mark,1951
artist:15,Ford,Harrison,1942
artist:16,Fisher,Carrie,1956
artist:17,Kershner,Irvin,1923
artist:18,Scott,Ridley,1937
artist:19,Young,Sean,1959
artist:20,Curtiz,Michael,1886
artist:21,Bogart,Humphrey,1899
artist:22,Bergman,Ingrid,1915
artist:23,Welles,Orson,1915
artist:24,Cotten,Joseph,1905
artist:25,Kubrick,Stanley,1928
artist:26,Dullea,Keir,1936
artist:27,Lockwood,Gary,1937
artist:28,Nicholson,Jack,1937
artist:29,Duvall,Shelley,1949
artist:30,Tarantino,Quentin,1963
artist:31,Travolta,John,1954
artist:32,Jackson,Samuel L.,1948
artist:33,Kassovitz,Mathieu,1967
artist:34,Cassel,Vincent,1966
artist:35,Taghmaoui,Saïd,1973
artist:36,Jeunet,Jean-Pierre,1953
artist:37,Tautou,Audrey,1976
artist:38,Kassovitz,Mathieu,1967
artist:39,Nolan,Christopher,1970
artist:40,DiCaprio,Leonardo,1974
artist:41,Gordon-Levitt,Joseph,1981
artist:42,Bale,Christian,1974
artist:43,Ledger,Heath,1979
